Schlüssel WZ 2008,Beschreibung
01110,"Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten"
01120,Anbau von Reis
01131,Anbau von Gemüse und Melonen
01132,Anbau von Kartoffeln sowie sonstigen Wurzeln und Knollen
01140,Anbau von Zuckerrohr
01150,Anbau von Tabak
01160,Anbau von Faserpflanzen
01191,Anbau von Zierpflanzen zum Schnitt
01192,Erzeugung von Blumensamen
01199,Anbau von sonstigen einjährigen Pflanzen a. n. g.
01210,Anbau von Wein- und Tafeltrauben
01220,Anbau von tropischen und subtropischen Früchten
01230,Anbau von Zitrusfrüchten
01240,Anbau von Kern- und Steinobst
01251,Anbau von Erdbeeren
01259,Anbau von sonstigem Obst (ohne Erdbeeren) und Nüssen
01260,Anbau von ölhaltigen Früchten
01270,Anbau von Pflanzen zur Herstellung von Getränken
01280,"Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke"
01290,Anbau sonstiger mehrjähriger Pflanzen
01301,"Anbau von Zimmerpflanzen, Beet- und Balkonpflanzen"
01302,Betrieb von Baumschulen
01410,Haltung von Milchkühen
01420,Haltung von anderen Rindern
01430,Haltung von Pferden und Eseln
01440,Haltung von Kamelen
01450,Haltung von Schafen und Ziegen
01460,Haltung von Schweinen
01471,Haltung von Legehennen zur Konsumeiererzeugung
01472,Betrieb von Brütereien
01479,Sonstige Haltung von Nutzgeflügel
01490,Sonstige Tierhaltung
01500,Gemischte Landwirtschaft
01610,Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau
01620,Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung
01630,Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung
01640,Saatgutaufbereitung
01700,"Jagd, Fallenstellerei und damit verbundene Tätigkeiten"
02100,Forstwirtschaft
02200,Holzeinschlag
02300,Sammeln von wild wachsenden Produkten (ohne Holz)
02400,Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag
03110,Meeresfischerei
03120,Süßwasserfischerei
03210,Meeresaquakultur
03220,Süßwasseraquakultur
05100,Steinkohlenbergbau
05200,Braunkohlenbergbau
06100,Gewinnung von Erdöl
06200,Gewinnung von Erdgas
07100,Eisenerzbergbau
07210,Bergbau auf Uran- und Thoriumerze
07290,Sonstiger NE-Metallerzbergbau
08110,"Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer"
08120,"Gewinnung von Kies, Sand, Ton und Kaolin"
08910,Bergbau auf chemische und Düngemittelminerale
08920,Torfgewinnung
08930,Gewinnung von Salz
08990,Gewinnung von Steinen und Erden a. n. g.
09100,Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas
09900,Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden
10110,Schlachten (ohne Schlachten von Geflügel)
10120,Schlachten von Geflügel
10130,Fleischverarbeitung
10200,Fischverarbeitung
10310,Kartoffelverarbeitung
10320,Herstellung von Frucht- und Gemüsesäften
10390,Sonstige Verarbeitung von Obst und Gemüse
10410,Herstellung von Ölen und Fetten (ohne Margarine u. ä. Nahrungsfette)
