Schlüssel WZ 2009,Ebene,Titel,Übersektor
A,1,"Land- und Forstwirtschaft, Fischerei","Land- und Forstwirtschaft, Fischerei"
1,2,"Landwirtschaft, Jagd und damit verbundene Tätigkeiten","Land- und Forstwirtschaft, Fischerei"
11,3,Anbau einjähriger Pflanzen,"Land- und Forstwirtschaft, Fischerei"
111,4,"Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten","Land- und Forstwirtschaft, Fischerei"
1110,5,"Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten","Land- und Forstwirtschaft, Fischerei"
112,4,Anbau von Reis,"Land- und Forstwirtschaft, Fischerei"
1120,5,Anbau von Reis,"Land- und Forstwirtschaft, Fischerei"
113,4,Anbau von Gemüse und Melonen sowie Wurzeln und Knollen,"Land- und Forstwirtschaft, Fischerei"
1131,5,Anbau von Gemüse und Melonen,"Land- und Forstwirtschaft, Fischerei"
1132,5,Anbau von Kartoffeln sowie sonstigen Wurzeln und Knollen,"Land- und Forstwirtschaft, Fischerei"
114,4,Anbau von Zuckerrohr,"Land- und Forstwirtschaft, Fischerei"
1140,5,Anbau von Zuckerrohr,"Land- und Forstwirtschaft, Fischerei"
115,4,Anbau von Tabak,"Land- und Forstwirtschaft, Fischerei"
1150,5,Anbau von Tabak,"Land- und Forstwirtschaft, Fischerei"
116,4,Anbau von Faserpflanzen,"Land- und Forstwirtschaft, Fischerei"
1160,5,Anbau von Faserpflanzen,"Land- und Forstwirtschaft, Fischerei"
119,4,Anbau von sonstigen einjährigen Pflanzen,"Land- und Forstwirtschaft, Fischerei"
1191,5,Anbau von Zierpflanzen zum Schnitt,"Land- und Forstwirtschaft, Fischerei"
1192,5,Erzeugung von Blumensamen,"Land- und Forstwirtschaft, Fischerei"
1199,5,Anbau von sonstigen einjährigen Pflanzen a. n. g.,"Land- und Forstwirtschaft, Fischerei"
12,3,Anbau mehrjähriger Pflanzen,"Land- und Forstwirtschaft, Fischerei"
121,4,Anbau von Wein- und Tafeltrauben,"Land- und Forstwirtschaft, Fischerei"
1210,5,Anbau von Wein- und Tafeltrauben,"Land- und Forstwirtschaft, Fischerei"
122,4,Anbau von tropischen und subtropischen Früchten,"Land- und Forstwirtschaft, Fischerei"
1220,5,Anbau von tropischen und subtropischen Früchten,"Land- und Forstwirtschaft, Fischerei"
123,4,Anbau von Zitrusfrüchten,"Land- und Forstwirtschaft, Fischerei"
