sector;sector_string
1;Land- und Forstwirtschaft Fischerei
11;Land- und Forstwirtschaft Fischerei
111;Land- und Forstwirtschaft Fischerei
1110;Land- und Forstwirtschaft Fischerei
112;Land- und Forstwirtschaft Fischerei
1120;Land- und Forstwirtschaft Fischerei
113;Land- und Forstwirtschaft Fischerei
1131;Land- und Forstwirtschaft Fischerei
1132;Land- und Forstwirtschaft Fischerei
114;Land- und Forstwirtschaft Fischerei
1140;Land- und Forstwirtschaft Fischerei
115;Land- und Forstwirtschaft Fischerei
1150;Land- und Forstwirtschaft Fischerei
116;Land- und Forstwirtschaft Fischerei
1160;Land- und Forstwirtschaft Fischerei
119;Land- und Forstwirtschaft Fischerei
1191;Land- und Forstwirtschaft Fischerei
1192;Land- und Forstwirtschaft Fischerei
1199;Land- und Forstwirtschaft Fischerei
12;Land- und Forstwirtschaft Fischerei
121;Land- und Forstwirtschaft Fischerei
1210;Land- und Forstwirtschaft Fischerei
122;Land- und Forstwirtschaft Fischerei
1220;Land- und Forstwirtschaft Fischerei
123;Land- und Forstwirtschaft Fischerei
1230;Land- und Forstwirtschaft Fischerei
124;Land- und Forstwirtschaft Fischerei
1240;Land- und Forstwirtschaft Fischerei
125;Land- und Forstwirtschaft Fischerei
1251;Land- und Forstwirtschaft Fischerei
1259;Land- und Forstwirtschaft Fischerei
126;Land- und Forstwirtschaft Fischerei
1260;Land- und Forstwirtschaft Fischerei
127;Land- und Forstwirtschaft Fischerei
1270;Land- und Forstwirtschaft Fischerei
128;Land- und Forstwirtschaft Fischerei
1280;Land- und Forstwirtschaft Fischerei
129;Land- und Forstwirtschaft Fischerei
1290;Land- und Forstwirtschaft Fischerei
13;Land- und Forstwirtschaft Fischerei
13;Land- und Forstwirtschaft Fischerei
1301;Land- und Forstwirtschaft Fischerei
1302;Land- und Forstwirtschaft Fischerei
14;Land- und Forstwirtschaft Fischerei
141;Land- und Forstwirtschaft Fischerei
1410;Land- und Forstwirtschaft Fischerei
142;Land- und Forstwirtschaft Fischerei
1420;Land- und Forstwirtschaft Fischerei
143;Land- und Forstwirtschaft Fischerei
1430;Land- und Forstwirtschaft Fischerei
144;Land- und Forstwirtschaft Fischerei
1440;Land- und Forstwirtschaft Fischerei
145;Land- und Forstwirtschaft Fischerei
1450;Land- und Forstwirtschaft Fischerei
146;Land- und Forstwirtschaft Fischerei
1460;Land- und Forstwirtschaft Fischerei
147;Land- und Forstwirtschaft Fischerei
1471;Land- und Forstwirtschaft Fischerei
1472;Land- und Forstwirtschaft Fischerei
1479;Land- und Forstwirtschaft Fischerei
149;Land- und Forstwirtschaft Fischerei
1490;Land- und Forstwirtschaft Fischerei
15;Land- und Forstwirtschaft Fischerei
15;Land- und Forstwirtschaft Fischerei
1500;Land- und Forstwirtschaft Fischerei
16;Land- und Forstwirtschaft Fischerei
161;Land- und Forstwirtschaft Fischerei
1610;Land- und Forstwirtschaft Fischerei
162;Land- und Forstwirtschaft Fischerei
1620;Land- und Forstwirtschaft Fischerei
163;Land- und Forstwirtschaft Fischerei
1630;Land- und Forstwirtschaft Fischerei
164;Land- und Forstwirtschaft Fischerei
1640;Land- und Forstwirtschaft Fischerei
17;Land- und Forstwirtschaft Fischerei
17;Land- und Forstwirtschaft Fischerei
