plz,bundesland,ort
78267,Baden-Württemberg,Aach
54298,Rheinland-Pfalz,Aach
52062,Nordrhein-Westfalen,Aachen
52064,Nordrhein-Westfalen,Aachen
52066,Nordrhein-Westfalen,Aachen
52068,Nordrhein-Westfalen,Aachen
52070,Nordrhein-Westfalen,Aachen
52072,Nordrhein-Westfalen,Aachen
52074,Nordrhein-Westfalen,Aachen
52076,Nordrhein-Westfalen,Aachen
52078,Nordrhein-Westfalen,Aachen
52080,Nordrhein-Westfalen,Aachen
73430,Baden-Württemberg,Aalen
73431,Baden-Württemberg,Aalen
73432,Baden-Württemberg,Aalen
73433,Baden-Württemberg,Aalen
73434,Baden-Württemberg,Aalen
65326,Hessen,Aarbergen
25560,Schleswig-Holstein,Aasbüttel
91183,Bayern,Abenberg
93326,Bayern,Abensberg
55767,Rheinland-Pfalz,Abentheuer
91720,Bayern,Absberg
74232,Baden-Württemberg,Abstatt
99713,Thüringen,Abtsbessingen
73453,Baden-Württemberg,Abtsgmünd
69518,Hessen,Abtsteinach
97355,Bayern,Abtswind
55568,Rheinland-Pfalz,Abtweiler
88147,Baden-Württemberg,Achberg
77855,Baden-Württemberg,Achern
28832,Niedersachsen,Achim
94250,Bayern,Achslach
88480,Baden-Württemberg,Achstetten
56729,Rheinland-Pfalz,Acht
55767,Rheinland-Pfalz,Achtelsbach
24239,Schleswig-Holstein,Achterwehr
25917,Schleswig-Holstein,Achtrup
73099,Baden-Württemberg,Adelberg
37139,Niedersachsen,Adelebsen
29352,Niedersachsen,Adelheidsdorf
73486,Baden-Württemberg,Adelmannsfelden
85111,Bayern,Adelschlag
91325,Bayern,Adelsdorf
74740,Baden-Württemberg,Adelsheim
91587,Bayern,Adelshofen
82276,Bayern,Adelshofen
86477,Bayern,Adelsried
86559,Bayern,Adelzhausen
53518,Rheinland-Pfalz,Adenau
67742,Rheinland-Pfalz,Adenbach
38528,Niedersachsen,Adenbüttel
21365,Niedersachsen,Adendorf
84166,Bayern,Adlkofen
18211,Mecklenburg-Vorpommern,Admannshagen-Bargeshagen
8626,Sachsen,Adorf/Vogtland
25572,Schleswig-Holstein,Aebtissinwisch
31855,Niedersachsen,Aerzen
71563,Baden-Württemberg,Affalterbach
86444,Bayern,Affing
27257,Niedersachsen,Affinghausen
54689,Rheinland-Pfalz,Affler
21684,Niedersachsen,Agathenburg
25560,Schleswig-Holstein,Agethorst
74858,Baden-Württemberg,Aglasterhausen
84168,Bayern,Aham
48683,Nordrhein-Westfalen,Ahaus
27367,Niedersachsen,Ahausen
17375,Mecklenburg-Vorpommern,Ahlbeck
29693,Niedersachsen,Ahlden
24358,Schleswig-Holstein,Ahlefeld-Bistensee
59227,Nordrhein-Westfalen,Ahlen
59229,Nordrhein-Westfalen,Ahlen
21702,Niedersachsen,Ahlerstedt
6313,Sachsen-Anhalt,Ahlsdorf
98553,Thüringen,Ahlstädt
34292,Hessen,Ahnatal
24996,Schleswig-Holstein,Ahneby
29353,Niedersachsen,Ahnsbeck
31708,Niedersachsen,Ahnsen
94345,Bayern,Aholfing
94527,Bayern,Aholming
74744,Baden-Württemberg,Ahorn
96482,Bayern,Ahorn
95491,Bayern,Ahorntal
53506,Rheinland-Pfalz,Ahrbrück
23623,Schleswig-Holstein,Ahrensbök
22926,Schleswig-Holstein,Ahrensburg
16356,Brandenburg,Ahrensfelde
18320,Mecklenburg-Vorpommern,Ahrenshagen-Daskow
25853,Schleswig-Holstein,Ahrenshöft
18347,Mecklenburg-Vorpommern,Ahrenshoop
25885,Schleswig-Holstein,Ahrenviöl
24896,Schleswig-Holstein,Ahrenviölfeld
25885,Schleswig-Holstein,Ahrenviölfeld
86551,Bayern,Aichach
94529,Bayern,Aicha vorm Wald
73101,Baden-Württemberg,Aichelberg
86479,Bayern,Aichen
78733,Baden-Württemberg,Aichhalden
88317,Baden-Württemberg,Aichstetten
72631,Baden-Württemberg,Aichtal
73773,Baden-Württemberg,Aichwald
94501,Bayern,Aidenbach
97491,Bayern,Aidhausen
71134,Baden-Württemberg,Aidlingen
84089,Bayern,Aiglsbach
56459,Rheinland-Pfalz,Ailertchen
86447,Bayern,Aindling
83404,Bayern,Ainring
89344,Bayern,Aislingen
94330,Bayern,Aiterhofen
79677,Baden-Württemberg,Aitern
88319,Baden-Württemberg,Aitrach
87648,Bayern,Aitrang
6385,Sachsen-Anhalt,Aken (Elbe)
6386,Sachsen-Anhalt,Aken (Elbe)
39615,Sachsen-Anhalt,Aland
83544,Bayern,Albaching
79774,Baden-Württemberg,Albbruck
25767,Schleswig-Holstein,Albersdorf
7646,Thüringen,Albersdorf
73095,Baden-Württemberg,Albershausen
76857,Rheinland-Pfalz,Albersweiler
97320,Bayern,Albertshofen
66871,Rheinland-Pfalz,Albessen
55234,Rheinland-Pfalz,Albig
67308,Rheinland-Pfalz,Albisheim (Pfrimm)
23909,Schleswig-Holstein,Albsfelde
72458,Baden-Württemberg,Albstadt
72459,Baden-Württemberg,Albstadt
72461,Baden-Württemberg,Albstadt
52457,Nordrhein-Westfalen,Aldenhoven
